date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODAY,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_DAY,LO3_TIME,LO3,LO3_DAY
3-May,05:08PM,1,TODAY,01:06AM,0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
4-May,09:21AM,0.52,TODAY,01:51AM,-0.1,TODAY,06:34PM,0.9,TODAY,11:27AM,0.51,TODAY,-,-,-,-,-,-
5-May,08:56AM,0.59,TODAY,02:26AM,0.02,TODAY,08:00PM,0.8,TODAY,01:48PM,0.36,TODAY,-,-,-,-,-,-
6-May,09:02AM,0.73,TODAY,02:51AM,0.16,TODAY,09:27PM,0.68,TODAY,03:12PM,0.18,TODAY,-,-,-,-,-,-
7-May,09:19AM,0.89,TODAY,03:03AM,0.29,TODAY,10:48PM,0.57,TODAY,04:21PM,0,TODAY,-,-,-,-,-,-
8-May,09:42AM,1.04,TODAY,02:59AM,0.4,TODAY,-,-,-,05:22PM,-0.14,TODAY,-,-,-,-,-,-
9-May,12:14AM,0.47,TODAY,02:27AM,0.44,TODAY,10:11AM,1.17,TODAY,06:21PM,-0.24,TODAY,-,-,-,-,-,-
10-May,10:42AM,1.26,TODAY,07:20PM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
11-May,11:18AM,1.29,TODAY,08:18PM,-0.29,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
12-May,11:56AM,1.28,TODAY,09:15PM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
13-May,12:38PM,1.23,TODAY,10:12PM,-0.22,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
14-May,01:24PM,1.15,TODAY,11:07PM,-0.16,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
15-May,02:18PM,1.05,TODAY,11:57PM,-0.09,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
16-May,03:24PM,0.94,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17-May,04:44PM,0.82,TODAY,12:38AM,-0.01,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
18-May,09:14AM,0.61,TODAY,01:10AM,0.08,TODAY,06:03PM,0.71,TODAY,12:45PM,0.56,TODAY,-,-,-,-,-,-
19-May,08:40AM,0.66,TODAY,01:31AM,0.18,TODAY,07:27PM,0.61,TODAY,02:32PM,0.43,TODAY,-,-,-,-,-,-
20-May,08:34AM,0.76,TODAY,01:39AM,0.27,TODAY,08:48PM,0.53,TODAY,03:34PM,0.29,TODAY,-,-,-,-,-,-
21-May,08:42AM,0.87,TODAY,01:31AM,0.35,TODAY,10:00PM,0.47,TODAY,04:21PM,0.14,TODAY,-,-,-,-,-,-
22-May,08:57AM,0.99,TODAY,01:21AM,0.39,TODAY,11:13PM,0.43,TODAY,05:03PM,0.01,TODAY,-,-,-,-,-,-
23-May,09:18AM,1.1,TODAY,01:14AM,0.41,TODAY,-,-,-,05:43PM,-0.1,TODAY,-,-,-,-,-,-
24-May,09:42AM,1.2,TODAY,06:23PM,-0.18,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
25-May,10:10AM,1.27,TODAY,07:06PM,-0.24,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
26-May,10:43AM,1.31,TODAY,07:51PM,-0.27,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
27-May,11:22AM,1.33,TODAY,08:42PM,-0.28,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
28-May,12:10PM,1.31,TODAY,09:38PM,-0.26,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
29-May,01:07PM,1.25,TODAY,10:35PM,-0.21,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
30-May,02:13PM,1.14,TODAY,11:29PM,-0.14,TODAY,-,-,-,-,-,-,-,-,-,-,-,-
31-May,03:30PM,1,TODAY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1-Jun,07:55AM,0.58,TODAY,12:14AM,-0.03,TODAY,04:57PM,0.83,TODAY,10:15AM,0.56,TODAY,-,-,-,-,-,-
2-Jun,07:36AM,0.67,TODAY,12:46AM,0.11,TODAY,06:31PM,0.66,TODAY,01:00PM,0.43,TODAY,-,-,-,-,-,-
