date_astro,HI1_TIME,HI1,HI1_TODAY,LO1_TIME,LO1,LO1_TODAY,HI2_TIME,HI2,HI2_TODYA,LO2_TIME,LO2,LO2_TODAY,HI3_TIME,HI3,HI3_TODAY,LO3_TIME,LO3,LO3_TODAY
27-Mar,11:21AM,0.71,TOMORROW,05:15AM,0.27,TOMORROW,-,-,-,06:01PM,0.12,TOMORROW,-,-,-,-,-,-
28-Mar,12:14AM,0.63,TOMORROW,05:03AM,0.32,TOMORROW,11:39AM,0.81,TOMORROW,06:55PM,0.07,TOMORROW,-,-,-,-,-,-
29-Mar,12:57AM,0.51,TOMORROW,04:57AM,0.34,TOMORROW,11:59AM,0.89,TOMORROW,07:51PM,0.02,TOMORROW,-,-,-,-,-,-
30-Mar,01:49AM,0.4,TOMORROW,04:42AM,0.34,TOMORROW,12:21PM,0.96,TOMORROW,08:51PM,-0.02,TOMORROW,-,-,-,-,-,-
1-Apr,01:33PM,1.06,TOMORROW,11:24PM,-0.14,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
2-Apr,02:28PM,1.08,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3-Apr,03:45PM,1.08,TOMORROW,12:43AM,-0.2,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
4-Apr,05:18PM,1.09,TOMORROW,01:48AM,-0.25,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
5-Apr,06:42PM,1.08,TOMORROW,02:39AM,-0.25,TOMORROW,-,-,-,-,-,-,-,-,-,-,-,-
6-Apr,10:33AM,0.41,TOMORROW,03:19AM,-0.2,TOMORROW,07:58PM,1.05,TOMORROW,12:13PM,0.4,TOMORROW,-,-,-,-,-,-
7-Apr,10:08AM,0.47,TOMORROW,03:54AM,-0.1,TOMORROW,09:12PM,0.98,TOMORROW,02:19PM,0.29,TOMORROW,-,-,-,-,-,-
8-Apr,10:15AM,0.59,TOMORROW,04:22AM,0.03,TOMORROW,10:22PM,0.87,TOMORROW,03:43PM,0.14,TOMORROW,-,-,-,-,-,-
9-Apr,10:32AM,0.74,TOMORROW,04:43AM,0.18,TOMORROW,-,-,-,11:27PM,0.72,TOMORROW,-,-,-,-,-,-
10-Apr,04:51AM,0.92,TOMORROW,06:01PM,-0.09,TOMORROW,10:55AM,0.9,TOMORROW,-,-,-,-,-,-,-,-,-
11-Apr,12:34AM,0.57,TOMORROW,04:36AM,0.4,TOMORROW,11:24AM,1.03,TOMORROW,07:06PM,-0.16,TOMORROW,-,-,-,-,-,-
12-Apr,01:24AM,0.42,TOMORROW,03:48AM,0.4,TOMORROW,11:56AM,1.12,TOMORROW,08:14PM,-0.19,TOMORROW,-,-,-,-,-,-
